shirt_number,edition,label,body_color,size,qty,front_file,back_file,ink_note,affiliate_token,affiliate_url
001,Order A,JIU FIGHT · taped hands · #001/150,WHITE,S,1,001_front.png,001_back.png,as-is (cobalt blue) + 「001/150」 番号入り,67jp8,https://wearmu.com/jf/67jp8
002,Order A,JIU FIGHT · taped hands · #002/150,WHITE,S,1,002_front.png,002_back.png,as-is (cobalt blue) + 「002/150」 番号入り,26z9s,https://wearmu.com/jf/26z9s
003,Order A,JIU FIGHT · taped hands · #003/150,WHITE,S,1,003_front.png,003_back.png,as-is (cobalt blue) + 「003/150」 番号入り,mkr8y,https://wearmu.com/jf/mkr8y
004,Order A,JIU FIGHT · taped hands · #004/150,WHITE,S,1,004_front.png,004_back.png,as-is (cobalt blue) + 「004/150」 番号入り,kwcq4,https://wearmu.com/jf/kwcq4
005,Order A,JIU FIGHT · taped hands · #005/150,WHITE,S,1,005_front.png,005_back.png,as-is (cobalt blue) + 「005/150」 番号入り,p9yfy,https://wearmu.com/jf/p9yfy
006,Order A,JIU FIGHT · taped hands · #006/150,WHITE,S,1,006_front.png,006_back.png,as-is (cobalt blue) + 「006/150」 番号入り,3pvxz,https://wearmu.com/jf/3pvxz
007,Order A,JIU FIGHT · taped hands · #007/150,WHITE,S,1,007_front.png,007_back.png,as-is (cobalt blue) + 「007/150」 番号入り,vzavr,https://wearmu.com/jf/vzavr
008,Order A,JIU FIGHT · taped hands · #008/150,WHITE,S,1,008_front.png,008_back.png,as-is (cobalt blue) + 「008/150」 番号入り,52gef,https://wearmu.com/jf/52gef
009,Order A,JIU FIGHT · taped hands · #009/150,WHITE,S,1,009_front.png,009_back.png,as-is (cobalt blue) + 「009/150」 番号入り,ux9xc,https://wearmu.com/jf/ux9xc
010,Order A,JIU FIGHT · taped hands · #010/150,WHITE,S,1,010_front.png,010_back.png,as-is (cobalt blue) + 「010/150」 番号入り,wcw7t,https://wearmu.com/jf/wcw7t
011,Order A,JIU FIGHT · taped hands · #011/150,WHITE,S,1,011_front.png,011_back.png,as-is (cobalt blue) + 「011/150」 番号入り,bphu6,https://wearmu.com/jf/bphu6
012,Order A,JIU FIGHT · taped hands · #012/150,WHITE,S,1,012_front.png,012_back.png,as-is (cobalt blue) + 「012/150」 番号入り,wv3yd,https://wearmu.com/jf/wv3yd
013,Order A,JIU FIGHT · taped hands · #013/150,WHITE,S,1,013_front.png,013_back.png,as-is (cobalt blue) + 「013/150」 番号入り,47jsn,https://wearmu.com/jf/47jsn
014,Order A,JIU FIGHT · taped hands · #014/150,WHITE,S,1,014_front.png,014_back.png,as-is (cobalt blue) + 「014/150」 番号入り,r34ta,https://wearmu.com/jf/r34ta
015,Order A,JIU FIGHT · taped hands · #015/150,WHITE,S,1,015_front.png,015_back.png,as-is (cobalt blue) + 「015/150」 番号入り,yypgt,https://wearmu.com/jf/yypgt
016,Order A,JIU FIGHT · taped hands · #016/150,WHITE,S,1,016_front.png,016_back.png,as-is (cobalt blue) + 「016/150」 番号入り,zwfas,https://wearmu.com/jf/zwfas
017,Order A,JIU FIGHT · taped hands · #017/150,WHITE,S,1,017_front.png,017_back.png,as-is (cobalt blue) + 「017/150」 番号入り,cee2h,https://wearmu.com/jf/cee2h
018,Order A,JIU FIGHT · taped hands · #018/150,WHITE,S,1,018_front.png,018_back.png,as-is (cobalt blue) + 「018/150」 番号入り,m2rca,https://wearmu.com/jf/m2rca
019,Order A,JIU FIGHT · taped hands · #019/150,WHITE,S,1,019_front.png,019_back.png,as-is (cobalt blue) + 「019/150」 番号入り,bpr49,https://wearmu.com/jf/bpr49
020,Order A,JIU FIGHT · taped hands · #020/150,WHITE,S,1,020_front.png,020_back.png,as-is (cobalt blue) + 「020/150」 番号入り,c79ae,https://wearmu.com/jf/c79ae
021,Order A,JIU FIGHT · taped hands · #021/150,WHITE,M,1,021_front.png,021_back.png,as-is (cobalt blue) + 「021/150」 番号入り,5wz4b,https://wearmu.com/jf/5wz4b
022,Order A,JIU FIGHT · taped hands · #022/150,WHITE,M,1,022_front.png,022_back.png,as-is (cobalt blue) + 「022/150」 番号入り,aby2b,https://wearmu.com/jf/aby2b
023,Order A,JIU FIGHT · taped hands · #023/150,WHITE,M,1,023_front.png,023_back.png,as-is (cobalt blue) + 「023/150」 番号入り,u9278,https://wearmu.com/jf/u9278
